gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1238751096	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11264986	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.25172	9.53475	0.0	0.0			2014-07-01T00:00Z	1	7	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11264986					Tord Bretten, Håvard Rønning			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238751384	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11263487	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Golan, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.45121	9.53917	0.0	0.0			2014-06-03T00:00Z	3	6	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11263487					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238751414	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11263670	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.35003	9.60068	0.0	0.0			2014-06-13T00:00Z	13	6	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11263670					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238751506	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11265613	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Myrasetra, Sunndal, Mr	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.47942	8.9372	0.0	0.0			2014-09-14T00:00Z	14	9	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11265613					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238751727	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11265297	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.30436	9.5798	0.0	0.0			2014-08-22T00:00Z	22	8	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11265297					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238751930	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11265627	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Kavlisetra, Isfjorden, Rauma, Mr	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.59298	7.86385	0.0	0.0			2014-09-08T00:00Z	8	9	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11265627					Thomas Rødstøl			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238752529	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11266707	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Ryggen/Åmotselva, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.42347	9.30913	0.0	0.0			2014-08-20T00:00Z	20	8	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11266707					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238752611	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11266730	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Kolla, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.28984	9.52751	0.0	0.0			2014-08-31T00:00Z	31	8	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11266730					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238752960	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11256919	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Brønnhøbrøst, Nesset, Mr	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.39787	8.3861	0.0	0.0			2013-08-29T00:00Z	29	8	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11256919					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238755013	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11269895	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Nystubekk, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.35012	9.60634	0.0	0.0			2015-04-10T00:00Z	10	4	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11269895					Trond Toldnes, Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
